author,title,description,slug
NBA.com, Bradley Beal, Bradley Beal's Agent on Sheridan's report that he wants out of Washington: "That is absolutely not true. The only sources that would know Brad thinking’s are Brad and myself. And Brad’s focus is 100% on helping the #Wizards play consistent winning basketball., beal
NBA.com, Kevin Durant, Kevin Durant: 49 Points 9 Assists 6 Rebounds 2 Steals 2 blocks and a W! Durant with a dagger 3 against the magic to get the W! He also scored back to back 40+ points game!, durant
